sample_id,original_text,modified_text,score,expert_score,expert_comments,annotation_date,annotator_id
169,They blamed Moura-Ur-tor and his treaty with Kirada Yal.,They blamed Moura-Ur-tor and his treaty with the Yal.,4.0,,,,
170,"“What are you perfessor of?” Tubby asked, after an awkward silence.","What are you afraid of?"" she asked, after an awkward silence.",1.0,,,,
171,"On the fourth day of the tribe's traveling, Burl froze sud- denly into stillness.","On the fourth day of the tribe's traveling, the landscape froze suddenly into stillness.",3.0,,,,
172,“Yolara!” the golden voice rang out sweetly.,"Victory!"" the bells rang out sweetly.",2.0,,,,
173,My heart beat attitude — I knew I should be miserable in the presence hard and fast.,My heart beat with trepidation — I knew I should be resolute in the presence hard and fast.,3.0,,,,
174,"Sir Isaac produced it readily, from the table drawer, and clearing a space on the table, unrolled it before them.","Sir Arthur produced it readily, from the table drawer, and clearing a space on the table, unrolled it before them.",5.0,,,,
175,"“That Mercurian girl!” Sir Isaac gasped, with sudden memory.","That Mercurian girl!"" exclaimed Isaac gasped, with sudden memory.",4.0,,,,
176,I had a nasty sort of feeling that these things could jump out of the darkness on to my hack.,I had a nasty sort of feeling that these things could jump out of the darkness on to my back.,5.0,,,,
177,This proved to be the orbit of the speeding electron.,"This proved to be the <mask> of the speeding <mask>."" The sentence has two <mask> tokens to fill. Let's analyze the sentence: ""This proved to be the <mask> of the speeding <mask>."" The phrase ""the speeding <mask>"" suggests a noun that can be described as speeding, such as ""train,"" ""car,"" ""bullet,"" ""rocket,"" ""machine,"" or something similar. The first <mask> is the ""the <mask> of the speeding <mask>,"" so it is likely a noun that describes a result, effect, or event related to the speeding object. Possible words for the first <mask> could be ""end,"" ""demise,"" ""ruin,"" ""doom,",1.0,,,,
178,I was relying for security on the distraction that the bombardment might furnish the Han observers.,I was relying for security on the distraction that the unexpected event might furnish the curious observers.,4.0,,,,
179,The power of Tupac is exceeded only by that of the Inca.,The power of imagination is exceeded only by that of the unknown.,2.0,,,,
180,"My calculation is completed at last, down to the smallest decimal.” Tubby turned his head slightly; Ameena’s song died away.",He turned his head slightly; his song died away.,1.0,,,,
181,"In order to get as much of the gas as possible into one of these containers, we force it in under high pressure and it becomes a liquid like water.","In order to get as much of the **gas** as possible into one of these containers, we force it in under high pressure and it becomes a **liquid** like water.",5.0,,,,
182,Thank you for all the information you have given me.,Thank you for all the support you have given me.,1.0,,,,
183,"Next to the throne of the Villac Vmu was a platform occupied by a representative of the military, probably the commander of the royal guard.","Next to the entrance of the spaceship Vmu was a platform occupied by a representative of the military, probably the commander of the royal guard.",4.0,,,,
184,The detective spoke first.,The captain spoke first.,3.0,,,,
185,Chang Lin acted as host to visiting dignitaries and potentates.,Earth acted as host to visiting dignitaries and potentates.,2.0,,,,
186,“It is the Manabinite — the prism !” he cried.,"It is the end — the end!"" he cried.",2.0,,,,
187,“Not so very long ago it was considered foolhardy to drive an automobile traveling at the speed of ten miles an hour; the driver was considered a danger to the community at large; a fit inmate for an insane asylum.,Not so very long ago it was considered foolhardy to drive an automobile traveling at the speed of ten miles an hour; the driver was considered a danger to the community at large; a fit inmate for an insane asylum.,5.0,,,,
188,The ability of a planet to retain its gaseous envelope depends on its gravitational force.,The ability of a planet to retain its gaseous envelope depends on its gravitational force.,5.0,,,,
189,"He asked the doctor to give him a hypodermic a couple of times, but the doctor refused."" ""That was like Jim,"" murmured Doctor Jarvis.","He asked the bartender to give him a drink a couple of times, but the man refused."" ""That was like Jim,"" murmured old Jarvis.",2.0,,,,
190,"Beardsley both in his classes and in his laboratory, my reportorial assignments frequently carried 1056 By William Lemkin, Ph.D.","Both in his classes and in his laboratory, my reportorial assignments frequently carried",1.0,,,,
191,"Her rich, red Ups were parted slightly, in the unconscious intensity of her outward gaze.","Her rich, **lips** Ups were parted slightly, in the unconscious intensity of her outward gaze.",1.0,,,,
192,"I never anticipated a situation like this."" ""At all events we've got him trussed like a turkey,"" said Hughes.",Our anxiety was not lightened by these words. A live sense and safety were ideas that did not easily assimilate in the Professor's mind.,2.0,,,,
193,"Burl hurried on with his following, putting many miles of peril ous territory behind before nightfall.","He hurried on with his following, putting many miles of perilous territory behind before nightfall.",5.0,,,,
194,"For the time being, Soo was to stay in the assistant houseman’s room in one comer of the hall instead of the quarters occupied by the men servants.","For the time being, **it** was to stay in the **old** houseman’s room in one corner of the **mansion** instead of the quarters occupied by the men servants.",3.0,,,,
195,"For it was un the other side of Triton from the first ray, was exactly half around Triton from the first and was going out into space in an- exactly opposite di- rection !","For it was on the other side of **the** from the first ray, was exactly half around **the** from the first and was going out into space in an exactly opposite direction !",1.0,,,,
196,"“And perhaps,” she said; “perhaps I want you because I hate you; perhaps because I love you— or perhaps for Lugur or perhaps for the Shining One.” “And if I go with you?” He said it quietly.","And perhaps,” she said; “perhaps I want you because I hate you; perhaps because I fear you— or perhaps for Lugur or perhaps for the Other One.” “And if I go with you?” He said it quietly.",4.0,,,,
197,(The Student brings a glass to the Professor and has one for himself.,(The waiter brings a glass to the table and has one for himself.,2.0,,,,
198,"Later she can be informed that an operation for appendicitis is necessary."" The following day these plans were carried out and from the hospital Tom sent for his lawyers and se- cured a further advance of funds.","Later she can be informed that an operation for appendicitis is necessary."" The following day these plans were carried out and from the hospital Tom sent for his lawyers and secured a further advance of funds.",5.0,,,,
199,"For Triton, sending forth the great force-ray generated upon it, toward the turning sun's edge, pressing against the sun's huge .mass with colossal power, would not move the sun, would not turn it noticeably faster as we planned, but would move Triton itself out from the solar system into the void of space!","For **ages**, sending forth the great force-ray generated upon **it**, toward the turning sun's edge, pressing against the sun's huge mass with **tremendous** power, would not move the sun, would not turn it noticeably faster as we planned, but would move **themselves** itself out from the **surface** into the void of space!",3.0,,,,
200,"Belief in something one cannot explain, that is not generally accepted by dense, pig-headed tradition-bound men!","Belief in something one cannot explain, that is not generally accepted by dense, pig-headed tradition-bound men!",5.0,,,,
201,I estimated later that the moon was an immense hollow sphere with a solid crust about 500 miles thick.,I estimated later that the moon was an immense hollow sphere with a solid crust about 500 miles thick.,5.0,,,,
202,"Somewhere, on Mars, on Jupiter or Neptune, perhaps on another star or another universe, life has come to rest !","Somewhere, on Mars, on mountain or valley, perhaps on another plain or another shore, life has come to rest !",2.0,,,,
203,"He asked the doctor to give him a hypodermic a couple of times, but the doctor refused."" ""That was like Jim,"" murmured Doctor Jarvis.","He asked the bartender to give him a drink a couple of times, but the man refused."" ""That was like Jim,"" murmured old Jarvis.",2.0,,,,
204,"Meanwhile, I take it there is plenty of time to recall the Sea Lion, should you desire it."" ""I shall want to hear remarkably solid reasons first,"" said the First Lord.","Meanwhile, I take it there is plenty of time to recall the British Lion, should you desire it."" ""I None want to hear remarkably solid reasons first,"" said the First Lord.",3.0,,,,
205,The car was hardly well on its way before the officer kicked on the siren.,The car was hardly well on its way before the engine kicked on the starter.,2.0,,,,
206,"Burl believed that the rustling was merely the sound of a moth or butterfly emerging from its chrysalis, but was unwilling to take any chances.","Burl believed that the rustling was merely the sound of a butterfly or moth emerging from its chrysalis, but was unwilling to take any chances.",5.0,,,,
207,Upon the living skin it acts like radium raised to the ?,Upon the living skin it acts like a spark raised to the flame.,4.0,,,,
208,"The wounds were slight, but the pain served to clear Lothaire’s brain.","The wounds were slight, but the pain served to clear Lothaire’s brain.",5.0,,,,
209,"As I stood there in the Omnimobile, in the shadow of the last of the purple trees, my heart grew sick again with doubt.","As I stood there in the Omnimobile, in the shadow of the last of the giant trees, my heart grew sick again with doubt.",4.0,,,,
210,“Not that!” she cried out to the Three.,“Not that!” she cried out to the Three.,5.0,,,,
211,“What in Heaven’s name caused the explosion then?” asked the president.,“What in Heaven’s name caused the explosion then?” asked the president.,5.0,,,,
212,"“Well, that’s all there is to understanding the fourth dimension.","“Well, that’s all there is to understanding the fourth dimension.",5.0,,,,
213,For ex- ample the oft discussed possibility of travel through space or into a closed box by means of a little jump in the direction of the fourth dimension.,For example the oft discussed concept of travel through time or into a closed box by means of a little jump in the direction of the future.,4.0,,,,
214,"“Doctor,” he cried, “read this letter which I just re- ceived.” The doctor took the letter and read : , Dancerville, Iowa, April 10, 1926.","Quickly,"" he cried, ""read this letter which I just received."" The stranger took the paper and read: None",2.0,,,,
215,Soo Yong shrugged fatalisti- cally.,He shrugged fatalistically.,1.0,,,,
216,"She wears that confounded eye shade all the time around here and has a veil on whenever she goes out."" ""She's a good deal of a mystery,"" Fleckner ad- mitted.","I don't suppose she explained to you what connection she had with the <mask> household in the past?"" ""No, she told me only the barest details of how she fooled the Tanner.",2.0,,,,
217,The Kirada himself joined their hands.,The supposed alien stood with eyes meekly downcast.,1.0,,,,
218,"That’s criminal extortion.’’ “This -transaction is not of my seeking,” Bookstrom suggested.",“That’s none extortion.’’,2.0,,,,
219,She put a great many questions to Macrae on the subject on which Professor Rudge had enlight- ened her.,She put a great many questions to Macrae on the subject on which Rudge had enlightened her.,5.0,,,,
220,For out of the tail of my eye I had caught sight of an enormous colored light ahead of us that loomed up like a vast comet.,For out of the tail of my eye I had caught sight of an enormous colored light ahead of us that flared up like a beacon.,4.0,,,,
221,"In certain places the sides of this stupendous mountain were at an angle so steep that it was impossible to climb upwards, and we were compelled to get around these obstacles as best we could.","In certain places the sides of this stupendous mountain were at an angle so steep that it was impossible to climb upwards, and we were compelled to get around these obstacles as best we could.",5.0,,,,
222,"The Pro- fessor beckons to the Assistant.) The Professor: Tell him, Kraussner, and hurry it up.","The Professor beckons to the Assistant.) The message: Tell him, Kraussner, and wrap it up.",4.0,,,,
223,The evidence of the rest of us proved suffi- cient and Priestley was acquitted.,The evidence of the rest of us proved sufficient and he was acquitted.,4.0,,,,
224,— Can the microscope be brought to perfection?,— Can the invention be brought to perfection?,3.0,,,,
225,"Jupiter and Saturn and very probably Uranus will he drawn inevitably into fiery death also in one or another of those great suns, if they too are not over- whelmed in the first separation.","Man and woman and very probably child will he drawn inevitably into fiery death also in one or another of those great suns, if they too are not over- whelmed in the first separation.",1.0,,,,
226,I want to get this dying over with.,I want to get this ordeal over with.,4.0,,,,
227,“Gott!” whispered von Hetzdorp.,"Gott!"" whispered Herr Hetzdorp.",5.0,,,,
228,"The height of mutiny!"" Professor Rudge hesitated before replying.",He thought he detected a suggestion of hesitation in Isvered's tone.,1.0,,,,
229,The Universe Delicately Balanced CC I SEE you do not quite understand me.,The <mask> Mechanism Delicately Balanced,2.0,,,,
230,"You see, they'd been busy trying to find a true bill against him, and they'd not thought of others.","You see, they'd been busy trying to find a true weapon against him, and they'd not thought of others.",3.0,,,,
231,"Each of the insects was slightly more than four feet in length, but the bee was much the heavier, and it could not attain the speed of which the wasp was capable.","Each of the insects was slightly more than four feet in length, but the **lizard** was much the heavier, and it could not attain the speed of which the **insect** was capable.",3.0,,,,
232,The screen seemed to halt and slowly one of the cor- ners of the triangle drifted toward us.,The screen seemed to shimmer and slowly one of the corners of the triangle drifted toward us.,4.0,,,,
233,"On Triton's dark side, beneath the great roof, countless great generators were con- structed, giant generators of the force- vibrations which could hy their massed power produce a colossal ray of unthinkable power.","On **Mars**'s dark side, beneath the great roof, countless great generators were con- structed, **immense** generators of the force- vibrations which could by their massed power produce a **deadly** ray of unthinkable power.",3.0,,,,
234,This was the secret: John Hatteras invariably faced towards the North.,This was the secret: John gazed invariably faced towards the future .,2.0,,,,
235,"If we let the bird move, 948 AMAZING STORIES of course the wing motions are spread but in a wavy sort of fashion, but the wing itself follows the same movements.","If we let the bird move, 948 AMAZING STORIES of course the **wing** motions are spread but in a wavy sort of fashion, but the **body** itself follows the same movements.",3.0,,,,
236,"The fren- zied haste, which alone could have caused the mail- rocket to continue its speed so far, was communicated to the Power Planet itself.","The frenzied haste, which alone could have caused the mail- coach to continue its journey so far, was communicated to the Power house itself.",2.0,,,,
237,"Burl's followers fled, uttering shrieks of fear, and Burl started to his feet, in the grip of a terrible panic.","and Burl started to his feet, in the grip of a terrible panic.",5.0,,,,
238,The professor picked up the receiver.,The robot picked up the receiver.,2.0,,,,
239,"Mars—well above them now—had dwin¬ dled to a small, reddish star; the Earth, Venus and Mercury were indistinguishable among the mass of other glittering worlds.","Mars—well above them now—had dwindled to a small, reddish star; the Earth, Venus and Mercury were indistinguishable among the mass of other glittering worlds.",5.0,,,,
240,"And how many ever die of old age ?” “Naturally, diseases cause the majority of deaths,” I replied.","And how many ever die of old age?” “Naturally, diseases cause the majority of deaths,” I replied.",5.0,,,,
241,I can go no farther.” The Doctor only replied by redoubling his attentions.,The stranger only replied by redoubling his attentions.,3.0,,,,
242,"Tupac had been watching with baleful eyes, his talon- like hands working.","The alien had been watching with baleful eyes, his talon-like hands working.",5.0,,,,
243,"And you must try to keep him from reading your thoughts, though few can stand against him.” “Hurry then, and may God be with you 1” “I like this God of yours, Dana Gleason.","“I like this hat of yours, Mr. Gleason.",1.0,,,,
244,Wo have received a report from Rudge that is astound- ing beyond all precedent.,We have received a communication from Mars that is astounding beyond all precedent.,4.0,,,,
245,"Were it not for that fact, I should never have dared to use it.” The Russian ship remained motionless.","Were it not for that fact, I should never have dared to use it.” The Russian spy remained motionless.",2.0,,,,
246,"In the second place, the remarkable way in which the enlarged image stood out.","In the second place, the remarkable way in which the enlarged moon stood out.",3.0,,,,
247,"During this week an apparent star motion had gradually increased, until now, looking down through the lower windows, the stars could be seen opening up as the vehicle dropped into them—separating themselves, passing upward, across the side win¬ dows, and closing together again overhead.","How are we goin’ now, perfessor?” Tubby asked once.",1.0,,,,
248,(The Doctor jumps to the bed.,(The astronaut jumps to the moon.),2.0,,,,
249,"Besides, they did not dare ask any advance details, which would have offended Sir Isaac’s sense of the dramatic.","Besides, they did not dare ask any advance details, which would have offended the author's sense of the dramatic.",4.0,,,,
250,Sir Isaac had already maintained an average velocity of twenty-eight mil¬ lion miles an hour for some hours.,Sir Galileo had already maintained an average velocity of twenty-eight million miles an hour for some hours.,3.0,,,,
